"","ID_03","ID_05","ID_06","ID_07","ID_08","ID_09","ID_10","ID_10_CONFIRM","ID_10_CORRECTED","food","EXP25","EXP26"
"1",205,1001,14,4,6,2,3,1,NA,"flour",7,1
"2",205,1001,14,4,6,2,3,1,NA,"bread",1,5
"3",205,1002,14,4,6,2,3,1,NA,"flour",7,1
"4",205,1002,14,4,6,2,3,1,NA,"bread",0,NA
"5",214,1003,14,4,6,2,3,1,NA,"flour",7,1
"6",214,1003,14,4,6,2,3,1,NA,"bread",0,NA
"7",226,1004,14,4,6,2,3,1,NA,"flour",7,1
"8",226,1004,14,4,6,2,3,1,NA,"bread",0,NA
"9",214,1006,14,4,6,2,3,1,NA,"flour",7,1
"10",214,1006,14,4,6,2,3,1,NA,"bread",0,NA
"11",227,1007,14,4,6,2,3,1,NA,"flour",0,NA
"12",227,1007,14,4,6,2,3,1,NA,"bread",0,NA
"13",205,1008,14,4,6,2,3,1,NA,"flour",5,1
"14",205,1008,14,4,6,2,3,1,NA,"bread",0,NA
"15",215,1009,14,4,6,2,3,1,NA,"flour",2,5
"16",215,1009,14,4,6,2,3,1,NA,"bread",0,NA
"17",211,1010,14,4,6,2,3,1,NA,"flour",2,5
"18",211,1010,14,4,6,2,3,1,NA,"bread",1,5
"19",227,1012,27,16,6,2,3,1,NA,"flour",2,1
"20",227,1012,27,16,6,2,3,1,NA,"bread",0,NA
"21",215,1013,27,16,6,2,3,1,NA,"flour",1,1
"22",215,1013,27,16,6,2,3,1,NA,"bread",0,NA
"23",215,1014,27,16,6,2,3,1,NA,"flour",7,5
"24",215,1014,27,16,6,2,3,1,NA,"bread",5,5
"25",214,1015,27,16,6,2,3,1,NA,"flour",7,1
"26",214,1015,27,16,6,2,3,1,NA,"bread",1,5
"27",210,1017,40,16,6,2,3,1,NA,"flour",0,NA
"28",210,1017,40,16,6,2,3,1,NA,"bread",0,NA
"29",211,1019,40,16,6,2,3,1,NA,"flour",0,NA
"30",211,1019,40,16,6,2,3,1,NA,"bread",0,NA
"31",211,1020,40,16,6,2,3,1,NA,"flour",0,NA
"32",211,1020,40,16,6,2,3,1,NA,"bread",0,NA
"33",226,1021,78,16,6,2,3,1,NA,"flour",1,1
"34",226,1021,78,16,6,2,3,1,NA,"bread",0,NA
"35",205,1022,78,16,6,2,3,1,NA,"flour",7,1
"36",205,1022,78,16,6,2,3,1,NA,"bread",0,NA
"37",226,1023,78,16,6,2,3,1,NA,"flour",2,5
"38",226,1023,78,16,6,2,3,1,NA,"bread",2,5
"39",205,1024,78,16,6,2,3,1,NA,"flour",7,1
"40",205,1024,78,16,6,2,3,1,NA,"bread",0,NA
"41",214,1025,78,16,6,2,3,1,NA,"flour",7,5
"42",214,1025,78,16,6,2,3,1,NA,"bread",0,NA
"43",214,1026,80,16,6,2,3,1,NA,"flour",7,1
"44",214,1026,80,16,6,2,3,1,NA,"bread",0,NA
