"","ID_03","ID_05","ID_06","ID_07","ID_08","ID_09","ID_10","ID_10_CONFIRM","ID_10_CORRECTED","asset","AA01","AA02","asset_number"
"1",205,1001,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"2",205,1001,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"3",205,1002,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"4",205,1002,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"5",214,1003,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"6",214,1003,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"7",226,1004,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"8",226,1004,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"9",214,1006,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"10",214,1006,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"11",227,1007,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"12",227,1007,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"13",205,1008,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"14",205,1008,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"15",215,1009,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"16",215,1009,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"17",211,1010,14,4,6,2,3,1,NA,"1",0,NA,"cow"
"18",211,1010,14,4,6,2,3,1,NA,"2",0,NA,"sheep"
"19",227,1012,27,16,6,2,3,1,NA,"1",0,NA,"cow"
"20",227,1012,27,16,6,2,3,1,NA,"2",0,NA,"sheep"
"21",215,1013,27,16,6,2,3,1,NA,"1",0,NA,"cow"
"22",215,1013,27,16,6,2,3,1,NA,"2",0,NA,"sheep"
"23",215,1014,27,16,6,2,3,1,NA,"1",0,NA,"cow"
"24",215,1014,27,16,6,2,3,1,NA,"2",0,NA,"sheep"
"25",214,1015,27,16,6,2,3,1,NA,"1",1,1,"cow"
"26",214,1015,27,16,6,2,3,1,NA,"2",0,NA,"sheep"
"27",210,1017,40,16,6,2,3,1,NA,"1",0,NA,"cow"
"28",210,1017,40,16,6,2,3,1,NA,"2",0,NA,"sheep"
"29",211,1019,40,16,6,2,3,1,NA,"1",0,NA,"cow"
"30",211,1019,40,16,6,2,3,1,NA,"2",0,NA,"sheep"
"31",211,1020,40,16,6,2,3,1,NA,"1",1,1,"cow"
"32",211,1020,40,16,6,2,3,1,NA,"2",1,2,"sheep"
"33",226,1021,78,16,6,2,3,1,NA,"1",0,NA,"cow"
"34",226,1021,78,16,6,2,3,1,NA,"2",0,NA,"sheep"
"35",205,1022,78,16,6,2,3,1,NA,"1",0,NA,"cow"
"36",205,1022,78,16,6,2,3,1,NA,"2",0,NA,"sheep"
"37",226,1023,78,16,6,2,3,1,NA,"1",0,NA,"cow"
"38",226,1023,78,16,6,2,3,1,NA,"2",1,1,"sheep"
"39",205,1024,78,16,6,2,3,1,NA,"1",0,NA,"cow"
"40",205,1024,78,16,6,2,3,1,NA,"2",0,NA,"sheep"
"41",214,1025,78,16,6,2,3,1,NA,"1",0,NA,"cow"
"42",214,1025,78,16,6,2,3,1,NA,"2",0,NA,"sheep"
"43",214,1026,80,16,6,2,3,1,NA,"1",0,NA,"cow"
"44",214,1026,80,16,6,2,3,1,NA,"2",0,NA,"sheep"
"45",215,1027,80,16,6,2,3,1,NA,"1",0,NA,"cow"
"46",215,1027,80,16,6,2,3,1,NA,"2",0,NA,"sheep"
"47",210,1028,80,16,6,2,3,1,NA,"1",0,NA,"cow"
"48",210,1028,80,16,6,2,3,1,NA,"2",0,NA,"sheep"
"49",214,1029,80,16,6,2,3,1,NA,"1",0,NA,"cow"
"50",214,1029,80,16,6,2,3,1,NA,"2",0,NA,"sheep"
"51",215,1030,80,16,6,2,3,1,NA,"1",0,NA,"cow"
"52",215,1030,80,16,6,2,3,1,NA,"2",0,NA,"sheep"
"53",210,1033,100,16,6,2,3,1,NA,"1",0,NA,"cow"
"54",210,1033,100,16,6,2,3,1,NA,"2",0,NA,"sheep"
"55",227,1034,100,16,6,2,3,1,NA,"1",0,NA,"cow"
"56",227,1034,100,16,6,2,3,1,NA,"2",0,NA,"sheep"
"57",210,1035,100,16,6,2,3,1,NA,"1",0,NA,"cow"
"58",210,1035,100,16,6,2,3,1,NA,"2",0,NA,"sheep"
"59",226,1036,100,16,6,2,3,1,NA,"1",0,NA,"cow"
"60",226,1036,100,16,6,2,3,1,NA,"2",0,NA,"sheep"
"61",211,1037,100,16,6,2,3,1,NA,"1",0,NA,"cow"
"62",211,1037,100,16,6,2,3,1,NA,"2",0,NA,"sheep"
"63",226,1039,100,16,6,2,3,1,NA,"1",0,NA,"cow"
"64",226,1039,100,16,6,2,3,1,NA,"2",0,NA,"sheep"
"65",210,1040,100,16,6,2,3,1,NA,"1",0,NA,"cow"
"66",210,1040,100,16,6,2,3,1,NA,"2",0,NA,"sheep"
"67",222,1041,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"68",222,1041,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"69",239,1042,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"70",239,1042,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"71",218,1043,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"72",218,1043,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"73",225,1044,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"74",225,1044,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"75",229,1045,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"76",229,1045,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"77",239,1046,107,4,6,2,3,1,NA,"1",1,1,"cow"
"78",239,1046,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"79",225,1047,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"80",225,1047,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"81",231,1048,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"82",231,1048,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"83",239,1049,107,4,6,2,3,1,NA,"1",0,NA,"cow"
"84",239,1049,107,4,6,2,3,1,NA,"2",0,NA,"sheep"
"85",213,1051,126,20,4,2,3,1,NA,"1",0,NA,"cow"
"86",213,1051,126,20,4,2,3,1,NA,"2",0,NA,"sheep"
"87",234,1052,126,20,4,2,3,1,NA,"1",0,NA,"cow"
"88",234,1052,126,20,4,2,3,1,NA,"2",0,NA,"sheep"
"89",213,1053,126,20,4,2,3,1,NA,"1",0,NA,"cow"
"90",213,1053,126,20,4,2,3,1,NA,"2",0,NA,"sheep"
"91",234,1054,126,20,4,2,3,1,NA,"1",1,1,"cow"
"92",234,1054,126,20,4,2,3,1,NA,"2",0,NA,"sheep"
"93",202,1056,16,20,4,2,3,1,NA,"1",0,NA,"cow"
"94",202,1056,16,20,4,2,3,1,NA,"2",0,NA,"sheep"
"95",213,1057,16,20,4,2,3,1,NA,"1",0,NA,"cow"
"96",213,1057,16,20,4,2,3,1,NA,"2",0,NA,"sheep"
"97",202,1058,16,20,4,2,3,1,NA,"1",0,NA,"cow"
"98",202,1058,16,20,4,2,3,1,NA,"2",0,NA,"sheep"
"99",242,1059,16,20,4,2,3,1,NA,"1",0,NA,"cow"
"100",242,1059,16,20,4,2,3,1,NA,"2",0,NA,"sheep"
"101",242,1060,16,20,4,2,3,1,NA,"1",0,NA,"cow"
"102",242,1060,16,20,4,2,3,1,NA,"2",0,NA,"sheep"
"103",224,1061,67,20,4,2,3,1,NA,"1",0,NA,"cow"
"104",224,1061,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"105",242,1063,67,20,4,2,3,1,NA,"1",0,NA,"cow"
"106",242,1063,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"107",242,1064,67,20,4,2,3,1,NA,"1",0,NA,"cow"
"108",242,1064,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"109",224,1065,67,20,4,2,3,1,NA,"1",0,NA,"cow"
"110",224,1065,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"111",202,1066,67,20,4,2,3,1,NA,"1",0,NA,"cow"
"112",202,1066,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"113",242,1067,67,20,4,2,3,1,NA,"1",1,2,"cow"
"114",242,1067,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"115",224,1068,67,20,4,2,3,1,NA,"1",0,NA,"cow"
"116",224,1068,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"117",202,1070,67,20,4,2,3,1,NA,"1",0,NA,"cow"
"118",202,1070,67,20,4,2,3,1,NA,"2",0,NA,"sheep"
"119",224,1071,71,20,4,2,3,1,NA,"1",0,NA,"cow"
"120",224,1071,71,20,4,2,3,1,NA,"2",0,NA,"sheep"
"121",234,1072,71,20,4,2,3,1,NA,"1",0,NA,"cow"
"122",234,1072,71,20,4,2,3,1,NA,"2",0,NA,"sheep"
"123",224,1073,71,20,4,2,3,1,NA,"1",0,NA,"cow"
"124",224,1073,71,20,4,2,3,1,NA,"2",0,NA,"sheep"
"125",234,1074,71,20,4,2,3,1,NA,"1",0,NA,"cow"
"126",234,1074,71,20,4,2,3,1,NA,"2",0,NA,"sheep"
"127",224,1075,71,20,4,2,3,1,NA,"1",0,NA,"cow"
"128",224,1075,71,20,4,2,3,1,NA,"2",0,NA,"sheep"
"129",243,1077,11,25,4,2,3,1,NA,"1",0,NA,"cow"
"130",243,1077,11,25,4,2,3,1,NA,"2",0,NA,"sheep"
"131",216,1078,11,25,4,2,3,1,NA,"1",0,NA,"cow"
"132",216,1078,11,25,4,2,3,1,NA,"2",0,NA,"sheep"
"133",243,1079,3,20,4,2,3,1,NA,"1",0,NA,"cow"
"134",243,1079,3,20,4,2,3,1,NA,"2",0,NA,"sheep"
"135",216,1080,11,25,4,2,3,1,NA,"1",0,NA,"cow"
"136",216,1080,11,25,4,2,3,1,NA,"2",0,NA,"sheep"
"137",228,1081,3,20,4,2,3,1,NA,"1",0,NA,"cow"
"138",228,1081,3,20,4,2,3,1,NA,"2",0,NA,"sheep"
"139",212,1084,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"140",212,1084,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"141",212,1086,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"142",212,1086,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"143",228,1087,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"144",228,1087,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"145",240,1088,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"146",240,1088,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"147",212,1090,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"148",212,1090,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"149",240,1091,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"150",240,1091,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"151",240,1093,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"152",240,1093,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"153",220,1094,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"154",220,1094,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"155",220,1095,47,25,4,2,3,1,NA,"1",0,NA,"cow"
"156",220,1095,47,25,4,2,3,1,NA,"2",0,NA,"sheep"
"157",243,1097,110,26,4,2,3,1,NA,"1",0,NA,"cow"
"158",243,1097,110,26,4,2,3,1,NA,"2",0,NA,"sheep"
"159",216,1098,110,26,4,2,3,1,NA,"1",0,NA,"cow"
"160",216,1098,110,26,4,2,3,1,NA,"2",0,NA,"sheep"
"161",216,1100,110,26,4,2,3,1,NA,"1",0,NA,"cow"
"162",216,1100,110,26,4,2,3,1,NA,"2",0,NA,"sheep"
"163",243,1101,72,26,4,2,3,1,NA,"1",0,NA,"cow"
"164",243,1101,72,26,4,2,3,1,NA,"2",0,NA,"sheep"
"165",212,1103,72,26,4,2,3,1,NA,"1",0,NA,"cow"
"166",212,1103,72,26,4,2,3,1,NA,"2",0,NA,"sheep"
"167",212,1104,72,26,4,2,3,1,NA,"1",0,NA,"cow"
"168",212,1104,72,26,4,2,3,1,NA,"2",0,NA,"sheep"
"169",220,1105,72,26,4,2,3,1,NA,"1",0,NA,"cow"
"170",220,1105,72,26,4,2,3,1,NA,"2",0,NA,"sheep"
"171",205,1106,21,23,8,2,3,1,NA,"1",0,NA,"cow"
"172",205,1106,21,23,8,2,3,1,NA,"2",0,NA,"sheep"
"173",214,1107,21,23,8,2,3,1,NA,"1",0,NA,"cow"
"174",214,1107,21,23,8,2,3,1,NA,"2",0,NA,"sheep"
"175",214,1108,21,23,8,2,3,1,NA,"1",0,NA,"cow"
"176",214,1108,21,23,8,2,3,1,NA,"2",0,NA,"sheep"
"177",227,1109,21,23,8,2,3,1,NA,"1",0,NA,"cow"
"178",227,1109,21,23,8,2,3,1,NA,"2",0,NA,"sheep"
"179",227,1110,21,23,8,2,3,1,NA,"1",1,2,"cow"
"180",227,1110,21,23,8,2,3,1,NA,"2",0,NA,"sheep"
"181",210,2003,48,2,5,2,4,1,NA,"1",1,1,"cow"
"182",210,2003,48,2,5,2,4,1,NA,"2",0,NA,"sheep"
"183",211,2004,48,2,5,2,4,1,NA,"1",0,NA,"cow"
"184",211,2004,48,2,5,2,4,1,NA,"2",0,NA,"sheep"
"185",211,2005,48,2,5,2,4,1,NA,"1",0,NA,"cow"
