"","ID_03","ID_05","ID_06","ID_07","ID_08","ID_09","ID_10","ID_10_CONFIRM","ID_10_CORRECTED","INC_01","INC_02","INC_03","INC_04","INC_06","INC_10","INC_11","INC_12","AA01_1","AA01_2","AA02_1","AA02_2","EXP25_1","EXP25_2","EXP26_1","EXP26_2","key","formdef_version","duration","submissionday"
"1",205,1001,14,4,6,2,3,1,NA,25000,"20000",7000,4e+05,20000,0,25000,15000,0,0,NA,NA,7,1,1,5,"uuid:aff106ba-fe84-4267-a7b5-7cf36b5edaa0",2305021814,109.599998474121,2021-09-09
"2",205,1002,14,4,6,2,3,1,NA,44000,"0",0,0,0,0,5000,0,0,0,NA,NA,7,0,1,NA,"uuid:613f27a6-3bdf-48c6-9965-4a9e79ead9b8",2305021814,116.183334350586,2021-09-09
"3",214,1003,14,4,6,2,3,1,NA,0,"0",0,0,0,0,2e+05,0,0,0,NA,NA,7,0,1,NA,"uuid:195c12da-1fb0-44d6-bdc3-cd38d17c7f22",2305021814,97.9000015258789,2021-09-09
"4",226,1004,14,4,6,2,3,1,NA,30000,"0",0,0,0,0,150000,0,0,0,NA,NA,7,0,1,NA,"uuid:7565d9bb-f5a6-4a4e-b323-8815a30fc5e3",2305021814,76.4000015258789,2021-09-09
"5",214,1006,14,4,6,2,3,1,NA,0,"100000",0,0,0,0,0,0,0,0,NA,NA,7,0,1,NA,"uuid:98618983-c350-4a0a-987d-586cbe437c94",2305021814,69,2021-09-09
"6",227,1007,14,4,6,2,3,1,NA,0,"0",0,0,0,0,10000,0,0,0,NA,NA,0,0,NA,NA,"uuid:4bde8b00-e4e1-46cc-97b7-29ff19985aee",2305021814,77.8166656494141,2021-09-09
"7",205,1008,14,4,6,2,3,1,NA,88000,"0",0,0,0,0,20000,0,0,0,NA,NA,5,0,1,NA,"uuid:5c103bdd-fa17-40a2-a5ad-6787f4412975",2305021814,89.1999969482422,2021-09-09
"8",215,1009,14,4,6,2,3,1,NA,48500,"31000",0,0,12000,0,20000,0,0,0,NA,NA,2,0,5,NA,"uuid:8a0baf0a-fcf3-4edc-8410-cddcd0f3f4e0",2305021814,98.4166641235352,2021-09-09
"9",211,1010,14,4,6,2,3,1,NA,0,"0",0,0,0,0,0,0,0,0,NA,NA,2,1,5,5,"uuid:52832c90-17ee-4d6a-9886-93dc18440747",2305021814,126.783332824707,2021-09-09
"10",227,1012,27,16,6,2,3,1,NA,1e+05,"0",0,0,0,0,80000,0,0,0,NA,NA,2,0,1,NA,"uuid:d797815b-5770-44a6-b5cc-f47583f62ed8",2305021814,111.816665649414,2021-09-09
