"","ID_03","ID_05","ID_06","ID_07","ID_08","ID_09","ID_10","ID_10_CONFIRM","ID_10_CORRECTED","plot_number","plot","CROP","CRP08QA","CRP08UA","CRP09QA","CRP09UA","CRP10A"
"1",205,1001,14,4,6,2,3,1,NA,"1",1,9,50,13,30,13,9000
"2",205,1001,14,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"3",205,1002,14,4,6,2,3,1,NA,"1",1,4,150,13,100,13,18000
"4",205,1002,14,4,6,2,3,1,NA,"2",1,4,20,13,0,NA,NA
"5",214,1003,14,4,6,2,3,1,NA,"1",1,6,300,1,200,1,40000
"6",214,1003,14,4,6,2,3,1,NA,"2",1,9,200,1,150,1,37500
"7",226,1004,14,4,6,2,3,1,NA,"1",1,4,6,4,3,4,45000
"8",226,1004,14,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"9",214,1006,14,4,6,2,3,1,NA,"1",1,9,40,1,0,NA,NA
"10",214,1006,14,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"11",227,1007,14,4,6,2,3,1,NA,"1",1,9,50,1,0,NA,NA
"12",227,1007,14,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"13",205,1008,14,4,6,2,3,1,NA,"1",1,4,260,1,200,1,36000
"14",205,1008,14,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"15",215,1009,14,4,6,2,3,1,NA,"1",1,9,70,1,30,1,10500
"16",215,1009,14,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"17",211,1010,14,4,6,2,3,1,NA,"1",1,9,25,13,0,NA,NA
"18",211,1010,14,4,6,2,3,1,NA,"2",1,4,1.5,4,1,4,15000
"19",227,1012,27,16,6,2,3,1,NA,"1",1,9,150,1,0,NA,NA
"20",227,1012,27,16,6,2,3,1,NA,"2",1,75,350,1,300,1,60000
"21",215,1013,27,16,6,2,3,1,NA,"1",1,4,1,4,20,1,4000
"22",215,1013,27,16,6,2,3,1,NA,"2",1,9,50,1,0,NA,NA
"23",215,1014,27,16,6,2,3,1,NA,"1",1,4,80,13,20,13,4000
"24",215,1014,27,16,6,2,3,1,NA,"2",1,9,3,13,0,NA,NA
"25",214,1015,27,16,6,2,3,1,NA,"1",1,9,250,1,100,1,35000
"26",214,1015,27,16,6,2,3,1,NA,"2",1,75,100,1,100,1,18000
"27",210,1017,40,16,6,2,3,1,NA,"1",1,75,80,1,60,1,9000
"28",210,1017,40,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"29",211,1019,40,16,6,2,3,1,NA,"1",0,NA,NA,NA,NA,NA,NA
"30",211,1019,40,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"31",211,1020,40,16,6,2,3,1,NA,"1",1,9,35,13,0,NA,NA
"32",211,1020,40,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"33",226,1021,78,16,6,2,3,1,NA,"1",1,4,300,1,299,1,90000
"34",226,1021,78,16,6,2,3,1,NA,"2",1,75,100,1,80,1,17500
"35",205,1022,78,16,6,2,3,1,NA,"1",1,6,300,1,0,NA,NA
"36",205,1022,78,16,6,2,3,1,NA,"2",1,9,40,13,15,13,4500
"37",226,1023,78,16,6,2,3,1,NA,"1",1,4,400,1,200,1,35000
"38",226,1023,78,16,6,2,3,1,NA,"2",1,9,50,1,0,NA,NA
"39",205,1024,78,16,6,2,3,1,NA,"1",1,4,700,1,400,1,56000
"40",205,1024,78,16,6,2,3,1,NA,"2",1,4,500,1,400,1,60000
"41",214,1025,78,16,6,2,3,1,NA,"1",1,4,200,1,100,1,13000
"42",214,1025,78,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"43",214,1026,80,16,6,2,3,1,NA,"1",1,4,300,1,300,1,45000
"44",214,1026,80,16,6,2,3,1,NA,"2",1,4,120,1,100,1,15000
"45",215,1027,80,16,6,2,3,1,NA,"1",1,4,65,1,25,1,5000
"46",215,1027,80,16,6,2,3,1,NA,"2",1,9,20,13,0,NA,NA
"47",210,1028,80,16,6,2,3,1,NA,"1",1,4,200,1,150,1,25500
"48",210,1028,80,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"49",214,1029,80,16,6,2,3,1,NA,"1",1,4,150,1,150,1,27000
"50",214,1029,80,16,6,2,3,1,NA,"2",1,4,12.5,1,12.5,1,2250
"51",215,1030,80,16,6,2,3,1,NA,"1",1,4,3,4,2,4,40000
"52",215,1030,80,16,6,2,3,1,NA,"2",1,4,2,4,220,1,44000
"53",210,1033,100,16,6,2,3,1,NA,"1",1,4,1000,1,700,1,105000
"54",210,1033,100,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"55",227,1034,100,16,6,2,3,1,NA,"1",1,9,200,1,0,NA,NA
"56",227,1034,100,16,6,2,3,1,NA,"2",1,4,300,1,100,1,20000
"57",210,1035,100,16,6,2,3,1,NA,"1",1,4,500,1,500,1,75000
"58",210,1035,100,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"59",226,1036,100,16,6,2,3,1,NA,"1",1,9,70,13,20,13,6000
"60",226,1036,100,16,6,2,3,1,NA,"2",1,75,50,13,10,13,1500
"61",211,1037,100,16,6,2,3,1,NA,"1",1,9,150,1,0,NA,NA
"62",211,1037,100,16,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"63",226,1039,100,16,6,2,3,1,NA,"1",1,9,10,1,0,NA,NA
"64",226,1039,100,16,6,2,3,1,NA,"2",1,9,8,1,0,NA,NA
"65",210,1040,100,16,6,2,3,1,NA,"1",1,9,100,1,0,NA,NA
"66",210,1040,100,16,6,2,3,1,NA,"2",1,9,100,1,0,NA,NA
"67",222,1041,107,4,6,2,3,1,NA,"1",1,9,50,1,0,NA,NA
"68",222,1041,107,4,6,2,3,1,NA,"2",1,9,11,1,0,NA,NA
"69",239,1042,107,4,6,2,3,1,NA,"1",0,NA,NA,NA,NA,NA,NA
"70",239,1042,107,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"71",218,1043,107,4,6,2,3,1,NA,"1",1,9,1,3,0,NA,NA
"72",218,1043,107,4,6,2,3,1,NA,"2",1,4,1,4,0,NA,NA
"73",225,1044,107,4,6,2,3,1,NA,"1",1,75,50,1,0,NA,NA
"74",225,1044,107,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"75",229,1045,107,4,6,2,3,1,NA,"1",1,9,450,1,300,1,90000
"76",229,1045,107,4,6,2,3,1,NA,"2",1,5,300,1,80,1,12000
"77",239,1046,107,4,6,2,3,1,NA,"1",0,NA,NA,NA,NA,NA,NA
"78",239,1046,107,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"79",225,1047,107,4,6,2,3,1,NA,"1",1,4,200,1,100,1,20000
"80",225,1047,107,4,6,2,3,1,NA,"2",1,6,100,1,0,NA,NA
"81",231,1048,107,4,6,2,3,1,NA,"1",0,NA,NA,NA,NA,NA,NA
"82",231,1048,107,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"83",239,1049,107,4,6,2,3,1,NA,"1",1,9,72,1,4,1,1000
"84",239,1049,107,4,6,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"85",213,1051,126,20,4,2,3,1,NA,"1",1,9,30,1,0,NA,NA
"86",213,1051,126,20,4,2,3,1,NA,"2",1,9,15,1,0,NA,NA
"87",234,1052,126,20,4,2,3,1,NA,"1",1,9,70,1,0,NA,NA
"88",234,1052,126,20,4,2,3,1,NA,"2",1,9,15,1,0,NA,NA
"89",213,1053,126,20,4,2,3,1,NA,"1",1,9,75,1,0,NA,NA
"90",213,1053,126,20,4,2,3,1,NA,"2",1,4,80,1,40,1,9500
"91",234,1054,126,20,4,2,3,1,NA,"1",1,9,170,1,0,NA,NA
"92",234,1054,126,20,4,2,3,1,NA,"2",1,12,210,1,180,1,198000
"93",202,1056,16,20,4,2,3,1,NA,"1",1,9,50,1,0,NA,NA
"94",202,1056,16,20,4,2,3,1,NA,"2",1,9,70,1,0,NA,NA
"95",213,1057,16,20,4,2,3,1,NA,"1",1,4,100,1,50,1,7500
"96",213,1057,16,20,4,2,3,1,NA,"2",1,75,5,1,0,NA,NA
"97",202,1058,16,20,4,2,3,1,NA,"1",0,NA,NA,NA,NA,NA,NA
"98",202,1058,16,20,4,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"99",242,1059,16,20,4,2,3,1,NA,"1",1,4,130,1,50,1,10000
"100",242,1059,16,20,4,2,3,1,NA,"2",1,75,5,1,0,NA,NA
"101",242,1060,16,20,4,2,3,1,NA,"1",1,9,70,1,0,NA,NA
"102",242,1060,16,20,4,2,3,1,NA,"2",1,9,45,1,0,NA,NA
"103",224,1061,67,20,4,2,3,1,NA,"1",1,9,15,1,0,NA,NA
"104",224,1061,67,20,4,2,3,1,NA,"2",1,6,100,1,0,NA,NA
"105",242,1063,67,20,4,2,3,1,NA,"1",1,9,20,13,0,NA,NA
"106",242,1063,67,20,4,2,3,1,NA,"2",1,9,15,13,0,NA,NA
"107",242,1064,67,20,4,2,3,1,NA,"1",1,75,10,1,0,NA,NA
"108",242,1064,67,20,4,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
"109",224,1065,67,20,4,2,3,1,NA,"1",1,9,200,1,100,1,30000
"110",224,1065,67,20,4,2,3,1,NA,"2",1,9,100,1,0,NA,NA
"111",202,1066,67,20,4,2,3,1,NA,"1",1,4,30,1,22.5,1,2250
"112",202,1066,67,20,4,2,3,1,NA,"2",0,NA,NA,NA,NA,NA,NA
